"Date","Case_Status","Cases_Count"
"2020-06-13","Recovered",1482
"2020-06-14","Active",0
"2020-06-14","Deceased",22
"2020-06-14","Recovered",1482
"2020-06-15","Active",0
"2020-06-15","Deceased",22
"2020-06-15","Recovered",1482
"2020-06-16","Active",2
"2020-06-16","Deceased",22
"2020-06-16","Recovered",1482
"2020-06-17","Active",2
"2020-06-17","Deceased",22
"2020-06-17","Recovered",1482
"2020-06-18","Active",3
"2020-06-18","Deceased",22
"2020-06-18","Recovered",1482
"2020-06-19","Active",3
"2020-06-19","Deceased",22
"2020-06-19","Recovered",1482
"2020-06-20","Active",5
"2020-06-20","Deceased",22
"2020-06-20","Recovered",1482
"2020-06-21","Active",7
"2020-06-21","Deceased",22
"2020-06-21","Recovered",1482
"2020-06-22","Active",9
"2020-06-22","Deceased",22
"2020-06-22","Recovered",1482
"2020-06-23","Active",10
"2020-06-23","Deceased",22
"2020-06-23","Recovered",1483
"2020-06-24","Active",11
"2020-06-24","Deceased",22
"2020-06-24","Recovered",1483
"2020-06-25","Active",13
"2020-06-25","Deceased",22
"2020-06-25","Recovered",1484
"2020-06-26","Active",14
"2020-06-26","Deceased",22
"2020-06-26","Recovered",1484
"2020-06-27","Active",16
"2020-06-27","Deceased",22
"2020-06-27","Recovered",1484
"2020-06-28","Active",20
"2020-06-28","Deceased",22
"2020-06-28","Recovered",1484
"2020-06-29","Active",22
"2020-06-29","Deceased",22
"2020-06-29","Recovered",1484
"2020-06-30","Active",22
"2020-06-30","Deceased",22
"2020-06-30","Recovered",1484
"2020-07-01","Active",22
"2020-07-01","Deceased",22
"2020-07-01","Recovered",1484
"2020-07-02","Active",18
"2020-07-02","Deceased",22
"2020-07-02","Recovered",1490
"2020-07-03","Active",18
"2020-07-03","Deceased",22
"2020-07-03","Recovered",1490
"2020-07-04","Active",18
"2020-07-04","Deceased",22
"2020-07-04","Recovered",1490
"2020-07-05","Active",21
"2020-07-05","Deceased",22
"2020-07-05","Recovered",1490
"2020-07-06","Active",22
"2020-07-06","Deceased",22
"2020-07-06","Recovered",1490
"2020-07-07","Active",22
"2020-07-07","Deceased",22
"2020-07-07","Recovered",1492
"2020-07-08","Active",23
"2020-07-08","Deceased",22
"2020-07-08","Recovered",1492
"2020-07-09","Active",24
"2020-07-09","Deceased",22
"2020-07-09","Recovered",1494
"2020-07-10","Active",23
"2020-07-10","Deceased",22
"2020-07-10","Recovered",1497
"2020-07-11","Active",24
"2020-07-11","Deceased",22
"2020-07-11","Recovered",1497
"2020-07-12","Active",25
"2020-07-12","Deceased",22
"2020-07-12","Recovered",1497
"2020-07-13","Active",25
"2020-07-13","Deceased",22
"2020-07-13","Recovered",1497
"2020-07-14","Active",25
"2020-07-14","Deceased",22
"2020-07-14","Recovered",1498
"2020-07-15","Active",27
"2020-07-15","Deceased",22
"2020-07-15","Recovered",1498
"2020-07-16","Active",27
"2020-07-16","Deceased",22
"2020-07-16","Recovered",1499
"2020-07-17","Active",21
"2020-07-17","Deceased",22
"2020-07-17","Recovered",1506
"2020-07-18","Active",22
"2020-07-18","Deceased",22
"2020-07-18","Recovered",1506
"2020-07-19","Active",25
"2020-07-19","Deceased",22
"2020-07-19","Recovered",1506
"2020-07-20","Active",26
"2020-07-20","Deceased",22
"2020-07-20","Recovered",1506
"2020-07-21","Active",27
"2020-07-21","Deceased",22
"2020-07-21","Recovered",1506
"2020-07-22","Active",27
"2020-07-22","Deceased",22
"2020-07-22","Recovered",1506
"2020-07-23","Active",22
"2020-07-23","Deceased",22
"2020-07-23","Recovered",1511
"2020-07-24","Active",21
"2020-07-24","Deceased",22
"2020-07-24","Recovered",1513
"2020-07-25","Active",21
"2020-07-25","Deceased",22
"2020-07-25","Recovered",1513
"2020-07-26","Active",21
"2020-07-26","Deceased",22
"2020-07-26","Recovered",1513
"2020-07-27","Active",21
"2020-07-27","Deceased",22
"2020-07-27","Recovered",1513
"2020-07-28","Active",21
"2020-07-28","Deceased",22
"2020-07-28","Recovered",1514
"2020-07-29","Active",23
"2020-07-29","Deceased",22
"2020-07-29","Recovered",1514
"2020-07-30","Active",24
"2020-07-30","Deceased",22
"2020-07-30","Recovered",1514
"2020-07-31","Active",20
"2020-07-31","Deceased",22
"2020-07-31","Recovered",1518
"2020-08-01","Active",22
"2020-08-01","Deceased",22
"2020-08-01","Recovered",1518
"2020-08-02","Active",25
"2020-08-02","Deceased",22
"2020-08-02","Recovered",1518
"2020-08-03","Active",27
"2020-08-03","Deceased",22
"2020-08-03","Recovered",1518
"2020-08-04","Active",22
"2020-08-04","Deceased",22
"2020-08-04","Recovered",1523
"2020-08-05","Active",24
"2020-08-05","Deceased",22
"2020-08-05","Recovered",1523
"2020-08-06","Active",23
"2020-08-06","Deceased",22
"2020-08-06","Recovered",1524
"2020-08-07","Active",23
"2020-08-07","Deceased",22
"2020-08-07","Recovered",1524
"2020-08-08","Active",23
"2020-08-08","Deceased",22
"2020-08-08","Recovered",1524
"2020-08-09","Active",23
"2020-08-09","Deceased",22
"2020-08-09","Recovered",1524
"2020-08-10","Active",21
"2020-08-10","Deceased",22
"2020-08-10","Recovered",1526
"2020-08-11","Active",22
"2020-08-11","Deceased",22
"2020-08-11","Recovered",1526
"2020-08-12","Active",22
"2020-08-12","Deceased",22
"2020-08-12","Recovered",1531
"2020-08-13","Active",36
"2020-08-13","Deceased",22
"2020-08-13","Recovered",1531
"2020-08-14","Active",49
"2020-08-14","Deceased",22
"2020-08-14","Recovered",1531
"2020-08-15","Active",56
"2020-08-15","Deceased",22
"2020-08-15","Recovered",1531
"2020-08-16","Active",69
"2020-08-16","Deceased",22
"2020-08-16","Recovered",1531
"2020-08-17","Active",78
"2020-08-17","Deceased",22
"2020-08-17","Recovered",1531
"2020-08-18","Active",90
"2020-08-18","Deceased",22
"2020-08-18","Recovered",1531
"2020-08-19","Active",96
"2020-08-19","Deceased",22
"2020-08-19","Recovered",1531
"2020-08-20","Active",101
"2020-08-20","Deceased",22
"2020-08-20","Recovered",1531
"2020-08-21","Active",105
"2020-08-21","Deceased",22
"2020-08-21","Recovered",1538
"2020-08-22","Active",111
"2020-08-22","Deceased",22
"2020-08-22","Recovered",1538
"2020-08-23","Active",114
"2020-08-23","Deceased",22
"2020-08-23","Recovered",1538
"2020-08-24","Active",123
"2020-08-24","Deceased",22
"2020-08-24","Recovered",1538
"2020-08-25","Active",129
"2020-08-25","Deceased",22
"2020-08-25","Recovered",1539
"2020-08-26","Active",134
"2020-08-26","Deceased",22
"2020-08-26","Recovered",1539
"2020-08-27","Active",126
"2020-08-27","Deceased",22
"2020-08-27","Recovered",1554
"2020-08-28","Active",131
"2020-08-28","Deceased",22
"2020-08-28","Recovered",1561
"2020-08-29","Active",137
"2020-08-29","Deceased",22
"2020-08-29","Recovered",1568
"2020-08-30","Active",137
"2020-08-30","Deceased",22
"2020-08-30","Recovered",1570
"2020-08-31","Active",131
"2020-08-31","Deceased",22
"2020-08-31","Recovered",1585
"2020-09-01","Active",132
"2020-09-01","Deceased",22
"2020-09-01","Recovered",1598
"2020-09-02","Active",129
"2020-09-02","Deceased",22
"2020-09-02","Recovered",1606
"2020-09-03","Active",115
"2020-09-03","Deceased",22
"2020-09-03","Recovered",1622
"2020-09-04","Active",112
"2020-09-04","Deceased",22
"2020-09-04","Recovered",1630
"2020-09-05","Active",112
"2020-09-05","Deceased",24
"2020-09-05","Recovered",1631
"2020-09-06","Active",116
"2020-09-06","Deceased",24
"2020-09-06","Recovered",1632
"2020-09-07","Active",118
"2020-09-07","Deceased",24
"2020-09-07","Recovered",1634
"2020-09-08","Active",123
"2020-09-08","Deceased",24
"2020-09-08","Recovered",1635
"2020-09-09","Active",125
"2020-09-09","Deceased",24
"2020-09-09","Recovered",1639
"2020-09-10","Active",120
"2020-09-10","Deceased",24
"2020-09-10","Recovered",1648
"2020-09-11","Active",114
"2020-09-11","Deceased",24
"2020-09-11","Recovered",1655
"2020-09-12","Active",108
"2020-09-12","Deceased",24
"2020-09-12","Recovered",1663
"2020-09-13","Active",97
"2020-09-13","Deceased",24
"2020-09-13","Recovered",1676
"2020-09-14","Active",96
"2020-09-14","Deceased",24
"2020-09-14","Recovered",1678
"2020-09-15","Active",83
"2020-09-15","Deceased",24
"2020-09-15","Recovered",1694
"2020-09-16","Active",79
"2020-09-16","Deceased",25
"2020-09-16","Recovered",1698
"2020-09-17","Active",77
"2020-09-17","Deceased",25
"2020-09-17","Recovered",1707
"2020-09-18","Active",70
"2020-09-18","Deceased",25
"2020-09-18","Recovered",1714
"2020-09-19","Active",67
"2020-09-19","Deceased",25
"2020-09-19","Recovered",1719
"2020-09-20","Active",71
"2020-09-20","Deceased",25
"2020-09-20","Recovered",1719
"2020-09-21","Active",62
"2020-09-21","Deceased",25
"2020-09-21","Recovered",1728
"2020-09-22","Active",61
"2020-09-22","Deceased",25
"2020-09-22","Recovered",1729
"2020-09-23","Active",62
"2020-09-23","Deceased",25
"2020-09-23","Recovered",1737
"2020-09-24","Active",65
"2020-09-24","Deceased",25
"2020-09-24","Recovered",1737
"2020-09-25","Active",60
"2020-09-25","Deceased",25
"2020-09-25","Recovered",1744
"2020-09-26","Active",61
"2020-09-26","Deceased",25
"2020-09-26","Recovered",1745
"2020-09-27","Active",59
"2020-09-27","Deceased",25
"2020-09-27","Recovered",1749
"2020-09-28","Active",55
"2020-09-28","Deceased",25
"2020-09-28","Recovered",1753
"2020-09-29","Active",55
"2020-09-29","Deceased",25
"2020-09-29","Recovered",1755
"2020-09-30","Active",44
"2020-09-30","Deceased",25
"2020-09-30","Recovered",1767
"2020-10-01","Active",53
"2020-10-01","Deceased",25
"2020-10-01","Recovered",1770
"2020-10-02","Active",43
"2020-10-02","Deceased",25
"2020-10-02","Recovered",1780
"2020-10-03","Active",41
"2020-10-03","Deceased",25
"2020-10-03","Recovered",1783
"2020-10-04","Active",41
"2020-10-04","Deceased",25
"2020-10-04","Recovered",1788
"2020-10-05","Active",40
"2020-10-05","Deceased",25
"2020-10-05","Recovered",1790
"2020-10-06","Active",43
"2020-10-06","Deceased",25
"2020-10-06","Recovered",1790
"2020-10-07","Active",37
"2020-10-07","Deceased",25
"2020-10-07","Recovered",1799
"2020-10-08","Active",39
"2020-10-08","Deceased",25
"2020-10-08","Recovered",1800
"2020-10-09","Active",41
"2020-10-09","Deceased",25
"2020-10-09","Recovered",1800
"2020-10-10","Active",44
"2020-10-10","Deceased",25
"2020-10-10","Recovered",1801
"2020-10-11","Active",45
"2020-10-11","Deceased",25
"2020-10-11","Recovered",1801
"2020-10-12","Active",45
"2020-10-12","Deceased",25
"2020-10-12","Recovered",1801
"2020-10-13","Active",39
"2020-10-13","Deceased",25
"2020-10-13","Recovered",1808
"2020-10-14","Active",40
"2020-10-14","Deceased",25
"2020-10-14","Recovered",1809
"2020-10-15","Active",42
"2020-10-15","Deceased",25
"2020-10-15","Recovered",1809
"2020-10-16","Active",46
"2020-10-16","Deceased",25
"2020-10-16","Recovered",1809
"2020-10-17","Active",40
"2020-10-17","Deceased",25
"2020-10-17","Recovered",1818
"2020-10-18","Active",42
"2020-10-18","Deceased",25
"2020-10-18","Recovered",1819
