"Location","Report_date","Cases"
"Total","2021-10-08",40
"Total","2021-10-07",41
"Total","2021-10-06",38
"Total","2021-10-05",42
"Total","2021-10-04",27
"Total","2021-10-03",27
"Total","2021-10-02",28
"Total","2021-10-01",29
"Total","2021-09-30",18
"Total","2021-09-29",27
"Total","2021-09-28",45
"Total","2021-09-27",9
"Total","2021-09-26",15
"Total","2021-09-25",23
"Total","2021-09-24",12
"Total","2021-09-23",12
"Total","2021-09-22",17
"Total","2021-09-21",25
"Total","2021-09-20",11
"Total","2021-09-19",25
"Total","2021-09-18",24
"Total","2021-09-17",23
"Total","2021-09-16",14
"Total","2021-09-15",20
"Total","2021-09-14",11
"Total","2021-09-13",17
"Total","2021-09-12",42
"Total","2021-09-11",18
"Total","2021-09-10",25
"Total","2021-09-09",13
"Total","2021-09-08",22
"Total","2021-09-07",14
"Total","2021-09-06",27
"Total","2021-09-05",19
"Total","2021-09-04",27
"Total","2021-09-03",24
"Total","2021-09-02",29
"Total","2021-09-01",48
"Total","2021-08-31",58
"Total","2021-08-30",63
"Total","2021-08-29",56
"Total","2021-08-28",78
"Total","2021-08-27",78
"Total","2021-08-26",81
"Total","2021-08-25",67
"Total","2021-08-24",62
"Total","2021-08-23",40
"Total","2021-08-22",39
"Total","2021-08-21",31
"Total","2021-08-20",22
"Total","2021-08-19",20
"Total","2021-08-18",12
"Total","2021-08-17",12
"Total","2021-08-16",0
"Total","2021-08-15",4
"Total","2021-08-14",3
"Total","2021-08-13",3
"Total","2021-08-12",0
"Total","2021-08-11",8
"Total","2021-08-10",3
"Total","2021-08-09",3
"Total","2021-08-08",12
"Total","2021-08-07",4
"Total","2021-08-06",2
"Total","2021-08-05",1
"Total","2021-08-04",0
"Total","2021-08-03",2
"Total","2021-08-02",2
"Total","2021-08-01",4
"Total","2021-07-31",0
"Total","2021-07-30",4
"Total","2021-07-29",0
"Total","2021-07-28",6
"Total","2021-07-27",1
"Total","2021-07-26",2
"Total","2021-07-25",0
"Total","2021-07-24",1
"Total","2021-07-23",3
"Total","2021-07-22",5
"Total","2021-07-21",6
"Total","2021-07-20",8
"Total","2021-07-19",6
"Total","2021-07-18",3
"Total","2021-07-17",4
"Total","2021-07-16",6
"Total","2021-07-15",2
"Total","2021-07-14",22
"Total","2021-07-13",0
"Total","2021-07-12",15
"Total","2021-07-11",3
"Total","2021-07-10",3
"Total","2021-07-09",0
"Total","2021-07-08",0
"Total","2021-07-07",2
"Total","2021-07-06",5
"Total","2021-07-05",1
"Total","2021-07-04",9
"Total","2021-07-03",3
"Total","2021-07-02",3
"Total","2021-07-01",3
"Total","2021-06-30",1
"Total","2021-06-29",1
"Total","2021-06-28",5
"Total","2021-06-27",6
"Total","2021-06-26",3
"Total","2021-06-25",3
"Total","2021-06-24",2
"Total","2021-06-23",1
"Total","2021-06-22",4
"Total","2021-06-21",0
"Total","2021-06-20",2
"Total","2021-06-19",2
"Total","2021-06-18",2
"Total","2021-06-17",1
"Total","2021-06-16",2
"Total","2021-06-15",0
"Total","2021-06-14",1
"Total","2021-06-13",0
"Total","2021-06-12",3
"Total","2021-06-11",4
"Total","2021-06-10",5
"Total","2021-06-09",1
"Total","2021-06-08",6
