"Location","Report_date","Cases"
"Lakes","2020-05-03",0
"Lakes","2020-05-02",0
"Lakes","2020-05-01",0
"Lakes","2020-04-30",0
"Lakes","2020-04-29",0
"Lakes","2020-04-28",0
"Lakes","2020-04-27",0
"Lakes","2020-04-26",0
"Lakes","2020-04-25",0
"Lakes","2020-04-24",0
"Lakes","2020-04-23",0
"Lakes","2020-04-22",0
"Lakes","2020-04-21",0
"Lakes","2020-04-20",0
"Lakes","2020-04-19",0
"Lakes","2020-04-18",0
"Lakes","2020-04-17",1
"Lakes","2020-04-16",0
"Lakes","2020-04-15",0
"Lakes","2020-04-14",0
"Lakes","2020-04-13",0
"Lakes","2020-04-12",0
"Lakes","2020-04-11",0
"Lakes","2020-04-10",0
"Lakes","2020-04-09",0
"Lakes","2020-04-08",0
"Lakes","2020-04-07",0
"Lakes","2020-04-06",0
"Lakes","2020-04-05",0
"Lakes","2020-04-04",1
"Lakes","2020-04-03",0
"Lakes","2020-04-02",0
"Lakes","2020-04-01",0
"Lakes","2020-03-31",0
"Lakes","2020-03-30",2
"Lakes","2020-03-29",0
"Lakes","2020-03-28",0
"Lakes","2020-03-27",0
"Lakes","2020-03-26",0
"Lakes","2020-03-25",0
"Lakes","2020-03-24",0
"Lakes","2020-03-23",0
"Lakes","2020-03-22",0
"Lakes","2020-03-21",0
"Lakes","2020-03-20",0
"Lakes","2020-03-19",0
"Lakes","2020-03-18",0
"Lakes","2020-03-17",0
"Lakes","2020-03-16",0
"Lakes","2020-03-15",0
"Lakes","2020-03-14",0
"Lakes","2020-03-13",0
"Lakes","2020-03-12",0
"Lakes","2020-03-11",0
"Lakes","2020-03-10",0
"Lakes","2020-03-09",0
"Lakes","2020-03-08",0
"Lakes","2020-03-07",0
"Lakes","2020-03-06",0
"Lakes","2020-03-05",0
"Lakes","2020-03-04",0
"Lakes","2020-03-03",0
"Lakes","2020-03-02",0
"Lakes","2020-03-01",0
"Lakes","2020-02-29",0
"Lakes","2020-02-28",0
"Lakes","2020-02-27",0
"Lakes","2020-02-26",0
"Tairawhiti","2023-01-13",59
"Tairawhiti","2023-01-12",53
"Tairawhiti","2023-01-11",69
"Tairawhiti","2023-01-10",83
"Tairawhiti","2023-01-09",96
"Tairawhiti","2023-01-08",55
"Tairawhiti","2023-01-07",57
"Tairawhiti","2023-01-06",66
"Tairawhiti","2023-01-05",101
"Tairawhiti","2023-01-04",104
"Tairawhiti","2023-01-03",93
"Tairawhiti","2023-01-02",47
"Tairawhiti","2023-01-01",34
"Tairawhiti","2022-12-31",23
"Tairawhiti","2022-12-30",38
"Tairawhiti","2022-12-29",44
"Tairawhiti","2022-12-28",56
"Tairawhiti","2022-12-27",40
"Tairawhiti","2022-12-26",30
"Tairawhiti","2022-12-25",22
"Tairawhiti","2022-12-24",20
"Tairawhiti","2022-12-23",40
"Tairawhiti","2022-12-22",37
"Tairawhiti","2022-12-21",37
"Tairawhiti","2022-12-20",57
"Tairawhiti","2022-12-19",51
"Tairawhiti","2022-12-18",41
"Tairawhiti","2022-12-17",36
"Tairawhiti","2022-12-16",44
"Tairawhiti","2022-12-15",41
"Tairawhiti","2022-12-14",61
"Tairawhiti","2022-12-13",75
"Tairawhiti","2022-12-12",92
"Tairawhiti","2022-12-11",33
"Tairawhiti","2022-12-10",24
"Tairawhiti","2022-12-09",28
"Tairawhiti","2022-12-08",45
"Tairawhiti","2022-12-07",44
"Tairawhiti","2022-12-06",56
"Tairawhiti","2022-12-05",41
"Tairawhiti","2022-12-04",21
"Tairawhiti","2022-12-03",24
"Tairawhiti","2022-12-02",35
"Tairawhiti","2022-12-01",32
"Tairawhiti","2022-11-30",47
"Tairawhiti","2022-11-29",53
"Tairawhiti","2022-11-28",33
"Tairawhiti","2022-11-27",17
"Tairawhiti","2022-11-26",18
"Tairawhiti","2022-11-25",17
"Tairawhiti","2022-11-24",24
"Tairawhiti","2022-11-23",29
"Tairawhiti","2022-11-22",24
"Tairawhiti","2022-11-21",26
"Tairawhiti","2022-11-20",15
"Tairawhiti","2022-11-19",17
"Tairawhiti","2022-11-18",30
"Tairawhiti","2022-11-17",24
"Tairawhiti","2022-11-16",33
"Tairawhiti","2022-11-15",30
"Tairawhiti","2022-11-14",56
"Tairawhiti","2022-11-13",21
"Tairawhiti","2022-11-12",18
"Tairawhiti","2022-11-11",36
"Tairawhiti","2022-11-10",30
"Tairawhiti","2022-11-09",37
"Tairawhiti","2022-11-08",32
"Tairawhiti","2022-11-07",44
"Tairawhiti","2022-11-06",24
"Tairawhiti","2022-11-05",21
"Tairawhiti","2022-11-04",27
"Tairawhiti","2022-11-03",44
"Tairawhiti","2022-11-02",42
"Tairawhiti","2022-11-01",40
"Tairawhiti","2022-10-31",51
"Tairawhiti","2022-10-30",29
"Tairawhiti","2022-10-29",25
"Tairawhiti","2022-10-28",32
"Tairawhiti","2022-10-27",21
"Tairawhiti","2022-10-26",38
"Tairawhiti","2022-10-25",42
"Tairawhiti","2022-10-24",28
"Tairawhiti","2022-10-23",13
"Tairawhiti","2022-10-22",20
"Tairawhiti","2022-10-21",22
"Tairawhiti","2022-10-20",33
"Tairawhiti","2022-10-19",39
"Tairawhiti","2022-10-18",36
"Tairawhiti","2022-10-17",22
"Tairawhiti","2022-10-16",14
"Tairawhiti","2022-10-15",12
"Tairawhiti","2022-10-14",20
"Tairawhiti","2022-10-13",10
"Tairawhiti","2022-10-12",15
"Tairawhiti","2022-10-11",18
"Tairawhiti","2022-10-10",20
"Tairawhiti","2022-10-09",8
"Tairawhiti","2022-10-08",11
"Tairawhiti","2022-10-07",6
"Tairawhiti","2022-10-06",19
"Tairawhiti","2022-10-05",19
"Tairawhiti","2022-10-04",14
"Tairawhiti","2022-10-03",29
"Tairawhiti","2022-10-02",13
"Tairawhiti","2022-10-01",4
"Tairawhiti","2022-09-30",8
"Tairawhiti","2022-09-29",17
"Tairawhiti","2022-09-28",16
"Tairawhiti","2022-09-27",20
"Tairawhiti","2022-09-26",13
"Tairawhiti","2022-09-25",3
"Tairawhiti","2022-09-24",9
"Tairawhiti","2022-09-23",11
"Tairawhiti","2022-09-22",11
"Tairawhiti","2022-09-21",22
"Tairawhiti","2022-09-20",31
"Tairawhiti","2022-09-19",25
"Tairawhiti","2022-09-18",10
"Tairawhiti","2022-09-17",10
"Tairawhiti","2022-09-16",17
"Tairawhiti","2022-09-15",7
"Tairawhiti","2022-09-14",17
"Tairawhiti","2022-09-13",19
"Tairawhiti","2022-09-12",27
"Tairawhiti","2022-09-11",10
"Tairawhiti","2022-09-10",12
"Tairawhiti","2022-09-09",18
"Tairawhiti","2022-09-08",17
"Tairawhiti","2022-09-07",19
"Tairawhiti","2022-09-06",19
"Tairawhiti","2022-09-05",26
"Tairawhiti","2022-09-04",21
"Tairawhiti","2022-09-03",19
"Tairawhiti","2022-09-02",20
"Tairawhiti","2022-09-01",18
"Tairawhiti","2022-08-31",29
"Tairawhiti","2022-08-30",28
"Tairawhiti","2022-08-29",37
"Tairawhiti","2022-08-28",12
"Tairawhiti","2022-08-27",17
"Tairawhiti","2022-08-26",30
"Tairawhiti","2022-08-25",24
"Tairawhiti","2022-08-24",32
"Tairawhiti","2022-08-23",33
"Tairawhiti","2022-08-22",49
"Tairawhiti","2022-08-21",26
"Tairawhiti","2022-08-20",19
"Tairawhiti","2022-08-19",31
"Tairawhiti","2022-08-18",49
"Tairawhiti","2022-08-17",41
"Tairawhiti","2022-08-16",40
"Tairawhiti","2022-08-15",50
"Tairawhiti","2022-08-14",35
"Tairawhiti","2022-08-13",13
"Tairawhiti","2022-08-12",33
"Tairawhiti","2022-08-11",42
"Tairawhiti","2022-08-10",28
"Tairawhiti","2022-08-09",41
"Tairawhiti","2022-08-08",41
"Tairawhiti","2022-08-07",19
"Tairawhiti","2022-08-06",22
"Tairawhiti","2022-08-05",40
"Tairawhiti","2022-08-04",58
"Tairawhiti","2022-08-03",45
"Tairawhiti","2022-08-02",47
"Tairawhiti","2022-08-01",59
"Tairawhiti","2022-07-31",38
"Tairawhiti","2022-07-30",29
"Tairawhiti","2022-07-29",48
"Tairawhiti","2022-07-28",60
"Tairawhiti","2022-07-27",63
"Tairawhiti","2022-07-26",60
"Tairawhiti","2022-07-25",60
"Tairawhiti","2022-07-24",36
"Tairawhiti","2022-07-23",36
"Tairawhiti","2022-07-22",67
"Tairawhiti","2022-07-21",62
"Tairawhiti","2022-07-20",59
"Tairawhiti","2022-07-19",60
"Tairawhiti","2022-07-18",78
"Tairawhiti","2022-07-17",64
"Tairawhiti","2022-07-16",34
"Tairawhiti","2022-07-15",86
"Tairawhiti","2022-07-14",78
"Tairawhiti","2022-07-13",92
"Tairawhiti","2022-07-12",84
"Tairawhiti","2022-07-11",71
"Tairawhiti","2022-07-10",65
"Tairawhiti","2022-07-09",47
"Tairawhiti","2022-07-08",92
"Tairawhiti","2022-07-07",66
"Tairawhiti","2022-07-06",92
"Tairawhiti","2022-07-05",80
"Tairawhiti","2022-07-04",99
"Tairawhiti","2022-07-03",51
"Tairawhiti","2022-07-02",41
"Tairawhiti","2022-07-01",52
"Tairawhiti","2022-06-30",60
"Tairawhiti","2022-06-29",54
"Tairawhiti","2022-06-28",67
"Tairawhiti","2022-06-27",88
"Tairawhiti","2022-06-26",43
"Tairawhiti","2022-06-25",21
"Tairawhiti","2022-06-24",30
"Tairawhiti","2022-06-23",48
"Tairawhiti","2022-06-22",37
"Tairawhiti","2022-06-21",55
"Tairawhiti","2022-06-20",43
"Tairawhiti","2022-06-19",22
"Tairawhiti","2022-06-18",18
"Tairawhiti","2022-06-17",46
"Tairawhiti","2022-06-16",29
"Tairawhiti","2022-06-15",37
"Tairawhiti","2022-06-14",48
"Tairawhiti","2022-06-13",43
"Tairawhiti","2022-06-12",18
"Tairawhiti","2022-06-11",17
"Tairawhiti","2022-06-10",25
"Tairawhiti","2022-06-09",40
"Tairawhiti","2022-06-08",49
"Tairawhiti","2022-06-07",34
"Tairawhiti","2022-06-06",31
"Tairawhiti","2022-06-05",20
"Tairawhiti","2022-06-04",21
"Tairawhiti","2022-06-03",35
"Tairawhiti","2022-06-02",39
"Tairawhiti","2022-06-01",51
"Tairawhiti","2022-05-31",50
"Tairawhiti","2022-05-30",61
"Tairawhiti","2022-05-29",34
"Tairawhiti","2022-05-28",25
"Tairawhiti","2022-05-27",33
"Tairawhiti","2022-05-26",32
"Tairawhiti","2022-05-25",53
"Tairawhiti","2022-05-24",46
"Tairawhiti","2022-05-23",61
"Tairawhiti","2022-05-22",27
"Tairawhiti","2022-05-21",28
"Tairawhiti","2022-05-20",59
"Tairawhiti","2022-05-19",58
"Tairawhiti","2022-05-18",83
"Tairawhiti","2022-05-17",83
"Tairawhiti","2022-05-16",91
"Tairawhiti","2022-05-15",58
"Tairawhiti","2022-05-14",58
"Tairawhiti","2022-05-13",58
"Tairawhiti","2022-05-12",63
"Tairawhiti","2022-05-11",83
"Tairawhiti","2022-05-10",79
"Tairawhiti","2022-05-09",78
"Tairawhiti","2022-05-08",36
"Tairawhiti","2022-05-07",31
"Tairawhiti","2022-05-06",60
"Tairawhiti","2022-05-05",68
"Tairawhiti","2022-05-04",71
"Tairawhiti","2022-05-03",82
"Tairawhiti","2022-05-02",90
"Tairawhiti","2022-05-01",77
"Tairawhiti","2022-04-30",101
"Tairawhiti","2022-04-29",78
"Tairawhiti","2022-04-28",69
"Tairawhiti","2022-04-27",139
"Tairawhiti","2022-04-26",113
"Tairawhiti","2022-04-25",52
"Tairawhiti","2022-04-24",56
"Tairawhiti","2022-04-23",50
"Tairawhiti","2022-04-22",74
"Tairawhiti","2022-04-21",111
"Tairawhiti","2022-04-20",94
"Tairawhiti","2022-04-19",118
"Tairawhiti","2022-04-18",63
"Tairawhiti","2022-04-17",53
"Tairawhiti","2022-04-16",30
"Tairawhiti","2022-04-15",44
"Tairawhiti","2022-04-14",74
"Tairawhiti","2022-04-13",79
"Tairawhiti","2022-04-12",86
"Tairawhiti","2022-04-11",105
"Tairawhiti","2022-04-10",71
"Tairawhiti","2022-04-09",83
"Tairawhiti","2022-04-08",82
"Tairawhiti","2022-04-07",109
"Tairawhiti","2022-04-06",145
"Tairawhiti","2022-04-05",130
"Tairawhiti","2022-04-04",178
"Tairawhiti","2022-04-03",125
"Tairawhiti","2022-04-02",102
"Tairawhiti","2022-04-01",140
"Tairawhiti","2022-03-31",172
"Tairawhiti","2022-03-30",199
"Tairawhiti","2022-03-29",185
"Tairawhiti","2022-03-28",250
"Tairawhiti","2022-03-27",174
"Tairawhiti","2022-03-26",143
"Tairawhiti","2022-03-25",197
"Tairawhiti","2022-03-24",225
"Tairawhiti","2022-03-23",326
"Tairawhiti","2022-03-22",339
"Tairawhiti","2022-03-21",383
"Tairawhiti","2022-03-20",260
"Tairawhiti","2022-03-19",209
"Tairawhiti","2022-03-18",313
"Tairawhiti","2022-03-17",287
"Tairawhiti","2022-03-16",385
"Tairawhiti","2022-03-15",372
"Tairawhiti","2022-03-14",446
"Tairawhiti","2022-03-13",261
"Tairawhiti","2022-03-12",288
"Tairawhiti","2022-03-11",378
"Tairawhiti","2022-03-10",331
"Tairawhiti","2022-03-09",355
"Tairawhiti","2022-03-08",374
"Tairawhiti","2022-03-07",365
"Tairawhiti","2022-03-06",213
"Tairawhiti","2022-03-05",168
"Tairawhiti","2022-03-04",155
"Tairawhiti","2022-03-03",156
"Tairawhiti","2022-03-02",134
"Tairawhiti","2022-03-01",144
"Tairawhiti","2022-02-28",88
"Tairawhiti","2022-02-27",58
"Tairawhiti","2022-02-26",64
"Tairawhiti","2022-02-25",62
"Tairawhiti","2022-02-24",36
"Tairawhiti","2022-02-23",27
"Tairawhiti","2022-02-22",15
"Tairawhiti","2022-02-21",15
"Tairawhiti","2022-02-20",10
"Tairawhiti","2022-02-19",11
"Tairawhiti","2022-02-18",14
"Tairawhiti","2022-02-17",10
"Tairawhiti","2022-02-16",8
"Tairawhiti","2022-02-15",7
"Tairawhiti","2022-02-14",8
"Tairawhiti","2022-02-13",5
"Tairawhiti","2022-02-12",3
"Tairawhiti","2022-02-11",0
"Tairawhiti","2022-02-10",0
"Tairawhiti","2022-02-09",4
"Tairawhiti","2022-02-08",0
"Tairawhiti","2022-02-07",0
"Tairawhiti","2022-02-06",1
"Tairawhiti","2022-02-05",0
"Tairawhiti","2022-02-04",1
"Tairawhiti","2022-02-03",4
"Tairawhiti","2022-02-02",1
"Tairawhiti","2022-02-01",1
"Tairawhiti","2022-01-31",0
"Tairawhiti","2022-01-30",4
"Tairawhiti","2022-01-29",1
"Tairawhiti","2022-01-28",3
"Tairawhiti","2022-01-27",0
"Tairawhiti","2022-01-26",1
"Tairawhiti","2022-01-25",0
"Tairawhiti","2022-01-24",0
"Tairawhiti","2022-01-23",0
"Tairawhiti","2022-01-22",0
"Tairawhiti","2022-01-21",0
"Tairawhiti","2022-01-20",0
"Tairawhiti","2022-01-19",0
"Tairawhiti","2022-01-18",0
"Tairawhiti","2022-01-17",0
"Tairawhiti","2022-01-16",0
"Tairawhiti","2022-01-15",0
"Tairawhiti","2022-01-14",0
"Tairawhiti","2022-01-13",0
"Tairawhiti","2022-01-12",0
"Tairawhiti","2022-01-11",0
"Tairawhiti","2022-01-10",0
"Tairawhiti","2022-01-09",0
"Tairawhiti","2022-01-08",0
"Tairawhiti","2022-01-07",0
"Tairawhiti","2022-01-06",0
"Tairawhiti","2022-01-05",0
"Tairawhiti","2022-01-04",0
"Tairawhiti","2022-01-03",0
"Tairawhiti","2022-01-02",0
"Tairawhiti","2022-01-01",0
"Tairawhiti","2021-12-31",0
"Tairawhiti","2021-12-30",0
"Tairawhiti","2021-12-29",1
"Tairawhiti","2021-12-28",0
"Tairawhiti","2021-12-27",0
"Tairawhiti","2021-12-26",0
"Tairawhiti","2021-12-25",0
"Tairawhiti","2021-12-24",2
"Tairawhiti","2021-12-23",0
"Tairawhiti","2021-12-22",0
"Tairawhiti","2021-12-21",0
"Tairawhiti","2021-12-20",0
"Tairawhiti","2021-12-19",0
"Tairawhiti","2021-12-18",0
"Tairawhiti","2021-12-17",0
"Tairawhiti","2021-12-16",0
"Tairawhiti","2021-12-15",0
"Tairawhiti","2021-12-14",0
"Tairawhiti","2021-12-13",0
"Tairawhiti","2021-12-12",0
"Tairawhiti","2021-12-11",0
"Tairawhiti","2021-12-10",0
"Tairawhiti","2021-12-09",0
"Tairawhiti","2021-12-08",0
"Tairawhiti","2021-12-07",0
"Tairawhiti","2021-12-06",0
"Tairawhiti","2021-12-05",0
"Tairawhiti","2021-12-04",0
"Tairawhiti","2021-12-03",0
"Tairawhiti","2021-12-02",0
"Tairawhiti","2021-12-01",0
"Tairawhiti","2021-11-30",0
"Tairawhiti","2021-11-29",0
"Tairawhiti","2021-11-28",0
"Tairawhiti","2021-11-27",0
"Tairawhiti","2021-11-26",0
"Tairawhiti","2021-11-25",0
"Tairawhiti","2021-11-24",0
"Tairawhiti","2021-11-23",0
"Tairawhiti","2021-11-22",0
"Tairawhiti","2021-11-21",0
"Tairawhiti","2021-11-20",0
"Tairawhiti","2021-11-19",0
"Tairawhiti","2021-11-18",0
"Tairawhiti","2021-11-17",0
"Tairawhiti","2021-11-16",0
"Tairawhiti","2021-11-15",0
"Tairawhiti","2021-11-14",0
"Tairawhiti","2021-11-13",0
"Tairawhiti","2021-11-12",0
"Tairawhiti","2021-11-11",0
"Tairawhiti","2021-11-10",0
"Tairawhiti","2021-11-09",0
"Tairawhiti","2021-11-08",0
"Tairawhiti","2021-11-07",0
"Tairawhiti","2021-11-06",0
"Tairawhiti","2021-11-05",0
"Tairawhiti","2021-11-04",0
"Tairawhiti","2021-11-03",0
"Tairawhiti","2021-11-02",0
"Tairawhiti","2021-11-01",0
"Tairawhiti","2021-10-31",0
"Tairawhiti","2021-10-30",0
"Tairawhiti","2021-10-29",0
"Tairawhiti","2021-10-28",0
"Tairawhiti","2021-10-27",0
"Tairawhiti","2021-10-26",0
"Tairawhiti","2021-10-25",0
"Tairawhiti","2021-10-24",0
"Tairawhiti","2021-10-23",0
"Tairawhiti","2021-10-22",0
"Tairawhiti","2021-10-21",0
"Tairawhiti","2021-10-20",0
"Tairawhiti","2021-10-19",0
"Tairawhiti","2021-10-18",0
"Tairawhiti","2021-10-17",0
"Tairawhiti","2021-10-16",0
"Tairawhiti","2021-10-15",0
"Tairawhiti","2021-10-14",0
"Tairawhiti","2021-10-13",0
"Tairawhiti","2021-10-12",0
"Tairawhiti","2021-10-11",0
"Tairawhiti","2021-10-10",0
"Tairawhiti","2021-10-09",0
"Tairawhiti","2021-10-08",0
"Tairawhiti","2021-10-07",0
"Tairawhiti","2021-10-06",0
"Tairawhiti","2021-10-05",0
"Tairawhiti","2021-10-04",0
"Tairawhiti","2021-10-03",0
"Tairawhiti","2021-10-02",0
"Tairawhiti","2021-10-01",0
"Tairawhiti","2021-09-30",0
"Tairawhiti","2021-09-29",0
"Tairawhiti","2021-09-28",0
"Tairawhiti","2021-09-27",0
"Tairawhiti","2021-09-26",0
"Tairawhiti","2021-09-25",0
"Tairawhiti","2021-09-24",0
"Tairawhiti","2021-09-23",0
"Tairawhiti","2021-09-22",0
"Tairawhiti","2021-09-21",0
"Tairawhiti","2021-09-20",0
"Tairawhiti","2021-09-19",0
"Tairawhiti","2021-09-18",0
"Tairawhiti","2021-09-17",0
"Tairawhiti","2021-09-16",0
"Tairawhiti","2021-09-15",0
"Tairawhiti","2021-09-14",0
"Tairawhiti","2021-09-13",0
"Tairawhiti","2021-09-12",0
"Tairawhiti","2021-09-11",0
"Tairawhiti","2021-09-10",0
"Tairawhiti","2021-09-09",0
"Tairawhiti","2021-09-08",0
"Tairawhiti","2021-09-07",0
"Tairawhiti","2021-09-06",0
"Tairawhiti","2021-09-05",0
"Tairawhiti","2021-09-04",0
"Tairawhiti","2021-09-03",0
"Tairawhiti","2021-09-02",0
"Tairawhiti","2021-09-01",0
"Tairawhiti","2021-08-31",0
"Tairawhiti","2021-08-30",0
"Tairawhiti","2021-08-29",0
"Tairawhiti","2021-08-28",0
"Tairawhiti","2021-08-27",0
"Tairawhiti","2021-08-26",0
"Tairawhiti","2021-08-25",0
"Tairawhiti","2021-08-24",0
"Tairawhiti","2021-08-23",0
"Tairawhiti","2021-08-22",0
"Tairawhiti","2021-08-21",0
"Tairawhiti","2021-08-20",0
"Tairawhiti","2021-08-19",0
"Tairawhiti","2021-08-18",0
"Tairawhiti","2021-08-17",0
"Tairawhiti","2021-08-16",0
"Tairawhiti","2021-08-15",0
"Tairawhiti","2021-08-14",0
"Tairawhiti","2021-08-13",0
"Tairawhiti","2021-08-12",0
"Tairawhiti","2021-08-11",0
"Tairawhiti","2021-08-10",0
"Tairawhiti","2021-08-09",0
"Tairawhiti","2021-08-08",0
"Tairawhiti","2021-08-07",0
"Tairawhiti","2021-08-06",0
"Tairawhiti","2021-08-05",0
"Tairawhiti","2021-08-04",0
"Tairawhiti","2021-08-03",0
"Tairawhiti","2021-08-02",0
"Tairawhiti","2021-08-01",0
"Tairawhiti","2021-07-31",0
"Tairawhiti","2021-07-30",0
"Tairawhiti","2021-07-29",0
"Tairawhiti","2021-07-28",0
"Tairawhiti","2021-07-27",0
"Tairawhiti","2021-07-26",0
"Tairawhiti","2021-07-25",0
"Tairawhiti","2021-07-24",0
"Tairawhiti","2021-07-23",0
"Tairawhiti","2021-07-22",0
"Tairawhiti","2021-07-21",0
"Tairawhiti","2021-07-20",0
"Tairawhiti","2021-07-19",0
"Tairawhiti","2021-07-18",0
"Tairawhiti","2021-07-17",0
"Tairawhiti","2021-07-16",0
"Tairawhiti","2021-07-15",0
"Tairawhiti","2021-07-14",0
"Tairawhiti","2021-07-13",0
"Tairawhiti","2021-07-12",0
"Tairawhiti","2021-07-11",0
"Tairawhiti","2021-07-10",0
"Tairawhiti","2021-07-09",0
"Tairawhiti","2021-07-08",0
"Tairawhiti","2021-07-07",0
"Tairawhiti","2021-07-06",0
"Tairawhiti","2021-07-05",0
"Tairawhiti","2021-07-04",0
"Tairawhiti","2021-07-03",0
"Tairawhiti","2021-07-02",0
"Tairawhiti","2021-07-01",0
"Tairawhiti","2021-06-30",0
"Tairawhiti","2021-06-29",0
"Tairawhiti","2021-06-28",0
"Tairawhiti","2021-06-27",0
"Tairawhiti","2021-06-26",0
"Tairawhiti","2021-06-25",0
"Tairawhiti","2021-06-24",0
"Tairawhiti","2021-06-23",0
"Tairawhiti","2021-06-22",0
"Tairawhiti","2021-06-21",0
"Tairawhiti","2021-06-20",0
"Tairawhiti","2021-06-19",0
"Tairawhiti","2021-06-18",0
"Tairawhiti","2021-06-17",0
"Tairawhiti","2021-06-16",0
"Tairawhiti","2021-06-15",0
"Tairawhiti","2021-06-14",0
"Tairawhiti","2021-06-13",0
"Tairawhiti","2021-06-12",0
"Tairawhiti","2021-06-11",0
"Tairawhiti","2021-06-10",0
"Tairawhiti","2021-06-09",0
"Tairawhiti","2021-06-08",0
"Tairawhiti","2021-06-07",0
"Tairawhiti","2021-06-06",0
"Tairawhiti","2021-06-05",0
"Tairawhiti","2021-06-04",0
"Tairawhiti","2021-06-03",0
"Tairawhiti","2021-06-02",0
"Tairawhiti","2021-06-01",0
"Tairawhiti","2021-05-31",0
"Tairawhiti","2021-05-30",0
"Tairawhiti","2021-05-29",0
"Tairawhiti","2021-05-28",0
"Tairawhiti","2021-05-27",0
"Tairawhiti","2021-05-26",0
"Tairawhiti","2021-05-25",0
"Tairawhiti","2021-05-24",0
"Tairawhiti","2021-05-23",0
"Tairawhiti","2021-05-22",0
"Tairawhiti","2021-05-21",0
"Tairawhiti","2021-05-20",0
"Tairawhiti","2021-05-19",0
"Tairawhiti","2021-05-18",0
"Tairawhiti","2021-05-17",0
"Tairawhiti","2021-05-16",0
"Tairawhiti","2021-05-15",0
"Tairawhiti","2021-05-14",0
"Tairawhiti","2021-05-13",0
"Tairawhiti","2021-05-12",0
"Tairawhiti","2021-05-11",0
"Tairawhiti","2021-05-10",0
"Tairawhiti","2021-05-09",0
"Tairawhiti","2021-05-08",0
"Tairawhiti","2021-05-07",0
"Tairawhiti","2021-05-06",0
"Tairawhiti","2021-05-05",0
"Tairawhiti","2021-05-04",0
"Tairawhiti","2021-05-03",0
"Tairawhiti","2021-05-02",0
"Tairawhiti","2021-05-01",0
"Tairawhiti","2021-04-30",0
"Tairawhiti","2021-04-29",0
"Tairawhiti","2021-04-28",0
"Tairawhiti","2021-04-27",0
"Tairawhiti","2021-04-26",0
"Tairawhiti","2021-04-25",0
"Tairawhiti","2021-04-24",0
"Tairawhiti","2021-04-23",0
"Tairawhiti","2021-04-22",0
"Tairawhiti","2021-04-21",0
"Tairawhiti","2021-04-20",0
"Tairawhiti","2021-04-19",0
"Tairawhiti","2021-04-18",0
"Tairawhiti","2021-04-17",0
"Tairawhiti","2021-04-16",0
"Tairawhiti","2021-04-15",0
"Tairawhiti","2021-04-14",0
"Tairawhiti","2021-04-13",0
"Tairawhiti","2021-04-12",0
"Tairawhiti","2021-04-11",0
"Tairawhiti","2021-04-10",0
"Tairawhiti","2021-04-09",0
"Tairawhiti","2021-04-08",0
"Tairawhiti","2021-04-07",0
"Tairawhiti","2021-04-06",0
"Tairawhiti","2021-04-05",0
"Tairawhiti","2021-04-04",0
"Tairawhiti","2021-04-03",0
"Tairawhiti","2021-04-02",0
"Tairawhiti","2021-04-01",0
"Tairawhiti","2021-03-31",0
"Tairawhiti","2021-03-30",0
"Tairawhiti","2021-03-29",0
"Tairawhiti","2021-03-28",0
"Tairawhiti","2021-03-27",0
"Tairawhiti","2021-03-26",0
"Tairawhiti","2021-03-25",0
"Tairawhiti","2021-03-24",0
"Tairawhiti","2021-03-23",0
"Tairawhiti","2021-03-22",0
"Tairawhiti","2021-03-21",0
"Tairawhiti","2021-03-20",0
"Tairawhiti","2021-03-19",0
"Tairawhiti","2021-03-18",0
"Tairawhiti","2021-03-17",0
"Tairawhiti","2021-03-16",0
"Tairawhiti","2021-03-15",0
"Tairawhiti","2021-03-14",0
"Tairawhiti","2021-03-13",0
"Tairawhiti","2021-03-12",0
"Tairawhiti","2021-03-11",0
"Tairawhiti","2021-03-10",0
"Tairawhiti","2021-03-09",0
"Tairawhiti","2021-03-08",0
"Tairawhiti","2021-03-07",0
"Tairawhiti","2021-03-06",0
"Tairawhiti","2021-03-05",0
"Tairawhiti","2021-03-04",0
"Tairawhiti","2021-03-03",0
"Tairawhiti","2021-03-02",0
"Tairawhiti","2021-03-01",0
"Tairawhiti","2021-02-28",0
"Tairawhiti","2021-02-27",0
"Tairawhiti","2021-02-26",0
"Tairawhiti","2021-02-25",0
"Tairawhiti","2021-02-24",0
"Tairawhiti","2021-02-23",0
"Tairawhiti","2021-02-22",0
"Tairawhiti","2021-02-21",0
"Tairawhiti","2021-02-20",0
"Tairawhiti","2021-02-19",0
"Tairawhiti","2021-02-18",0
"Tairawhiti","2021-02-17",0
"Tairawhiti","2021-02-16",0
"Tairawhiti","2021-02-15",0
"Tairawhiti","2021-02-14",0
"Tairawhiti","2021-02-13",0
"Tairawhiti","2021-02-12",0
"Tairawhiti","2021-02-11",0
"Tairawhiti","2021-02-10",0
"Tairawhiti","2021-02-09",0
"Tairawhiti","2021-02-08",0
"Tairawhiti","2021-02-07",0
"Tairawhiti","2021-02-06",0
"Tairawhiti","2021-02-05",0
"Tairawhiti","2021-02-04",0
"Tairawhiti","2021-02-03",0
"Tairawhiti","2021-02-02",0
"Tairawhiti","2021-02-01",0
"Tairawhiti","2021-01-31",0
"Tairawhiti","2021-01-30",0
"Tairawhiti","2021-01-29",0
"Tairawhiti","2021-01-28",0
"Tairawhiti","2021-01-27",0
"Tairawhiti","2021-01-26",0
"Tairawhiti","2021-01-25",0
"Tairawhiti","2021-01-24",0
